State,Abbreviation,population,total_cases_2020_06_01,total_cases_2021_06_01,total_cases_2022_06_01,total_cases_pre_million_2020_06_01,total_cases_pre_million_2021_06_01,total_cases_pre_million_2022_06_01
California,CA,39512223,113006,3685455,9602503,2860.026377,93273.7953,243026.139
Texas,TX,28995881,64880,2944003,6863419,2237.55919,101531.7658,236703.2407
Florida,FL,21477737,55735,2285781,6182927,2595.012687,106425.5978,287876.0923
New York,NY,19453561,167947,1151435,2934011,8633.226585,59188.90634,150821.2815
Pennsylvania,PA,12801989,76344,1208585,2932186,5963.448336,94406.03331,229041.4404
Illinois,IL,12671821,121234,1382587,3306763,9567.212163,109107.2072,260954.0491
Ohio,OH,11689100,35984,1102556,2763123,3078.423489,94323.42952,236384.5805
Georgia,GA,10617423,46501,1124080,2571104,4379.68799,105871.2646,242158.9495
North Carolina,NC,10488084,29461,991150,2778661,2808.997334,94502.48492,264935.0444
Michigan,MI,9986857,99002,997299,2547366,9913.228957,99861.14751,255071.8409
New Jersey,NJ,8882190,161293,1016490,2398157,18159.14769,114441.3709,269996.1383
Virginia,VA,8535519,46239,675783,1793644,5417.245278,79173.0415,210138.8328
Washington,WA,7614893,21995,436100,1583029,2888.418787,57269.35362,207885.9151
Arizona,AZ,7278717,20123,881454,2062669,2764.635581,121100.1884,283383.5963
Massachusetts,MA,6892503,97291,707131,1873034,14115.48171,102594.2245,271749.4646
Tennessee,TN,6829174,23274,859167,2065160,3408.025627,125808.3335,302402.6039
Indiana,IN,6732219,34830,744213,1735581,5173.628487,110544.9778,257802.2194
Missouri,MO,6137428,14360,600195,1453570,2339.742316,97792.59325,236836.9943
Maryland,MD,6045680,53327,459995,1093441,8820.678567,76086.56098,180863.1949
Wisconsin,WI,5822434,18543,674480,1677361,3184.75057,115841.5879,288085.8761
Colorado,CO,5758736,26920,549713,1461784,4674.636934,95457.23228,253837.6477
Minnesota,MN,5639632,25208,601517,1508948,4469.795192,106658.9097,267561.4295
South Carolina,SC,5148714,12420,593335,1507217,2412.252846,115239.4559,292736.594
Alabama,AL,4903185,18496,543446,1317127,3772.24192,110835.304,268626.8211
Louisiana,LA,4648794,40452,471663,1193425,8701.611644,101459.2172,256717.1185
Kentucky,KY,4467673,10513,456531,1360729,2353.126561,102185.4106,304572.2012
Oregon,OR,4217737,4302,201649,767286,1019.978249,47809.76149,181918.8821
Oklahoma,OK,3956971,7493,453284,1052091,1893.620145,114553.2783,265882.919
Connecticut,CT,3565287,42740,347563,810190,11987.81473,97485.27959,227243.9778
Utah,UT,3205958,10101,406282,948979,3150.696297,126727.1748,296004.8135
Iowa,IA,3155070,19698,371473,780447,6243.284618,117738.4337,247362.816
Nevada,NV,3080156,8688,324262,742260,2820.636357,105274.538,240981.3009
Arkansas,AR,3017804,7443,341450,843828,2466.362958,113145.1877,279616.5689
Mississippi,MS,2976149,17823,318311,808888,5988.611457,106953.9865,271790.1557
Kansas,KS,2913314,10011,314417,789127,3436.292827,107924.1716,270869.1888
New Mexico,NM,2096829,7800,203151,536571,3719.902767,96884.86758,255896.4036
Nebraska,NE,1934408,14338,223568,488110,7412.086799,115574.3773,252330.4287
West Virginia,WV,1792147,2028,161858,516553,1131.603602,90315.13598,288231.3783
Idaho,ID,1787065,2906,192305,452085,1626.129995,107609.4042,252976.2488
Hawaii,HI,1415872,645,35090,275631,455.5496542,24783.31375,194672.2585
New Hampshire,NH,1359711,4685,98767,325833,3445.585128,72638.22974,239634.0105
Maine,ME,1344212,2344,67871,263713,1743.77256,50491.29155,196184.0841
Montana,MT,1068778,523,111844,277497,489.3439049,104646.6151,259639.5135
Rhode Island,RI,1059361,14087,144122,374061,13297.63886,136046.1637,353100.5955
Delaware,DE,973764,9622,107247,276879,9881.244326,110136.5423,284338.9158
South Dakota,SD,884659,5034,124209,240357,5690.328138,140403.2514,271694.5173
North Dakota,ND,762062,2625,110003,244938,3444.60162,144349.1474,321414.793
Alaska,AK,731545,470,67507,253184,642.4758559,92280.03745,346094.9087
District Of Columbia,DC,705749,8857,49000,150495,12549.78753,69429.78311,213241.5349
Vermont,VT,623989,907,22673,123223,1453.551265,36335.57643,197476.2376
Wyoming,WY,578759,910,60364,158472,1572.329761,104299.026,273813.4526
